example,row_index,score,pd,actual_target,rank,feature,characteristic,shap_value_log_odds,direction
highest_risk,1172,426.6306209549234,0.8905627078925826,1,1,NumberOfTime30-59DaysPastDueNotWorse_woe,NumberOfTime30-59DaysPastDueNotWorse,1.8435811589075264,raises PD
highest_risk,1172,426.6306209549234,0.8905627078925826,1,2,NumberOfTimes90DaysLate_woe,NumberOfTimes90DaysLate,1.7657503012057982,raises PD
highest_risk,1172,426.6306209549234,0.8905627078925826,1,3,RevolvingUtilizationOfUnsecuredLines_woe,RevolvingUtilizationOfUnsecuredLines,1.2546920679725495,raises PD
highest_risk,1172,426.6306209549234,0.8905627078925826,1,4,age_woe,age,0.26935519860089846,raises PD
highest_risk,1172,426.6306209549234,0.8905627078925826,1,5,DebtRatio_woe,DebtRatio,0.26439297921889626,raises PD
median_risk,10375,591.8557531877793,0.0258371547427974,0,1,NumberOfTime30-59DaysPastDueNotWorse_woe,NumberOfTime30-59DaysPastDueNotWorse,-0.15637813172603496,lowers PD
median_risk,10375,591.8557531877793,0.0258371547427974,0,2,DebtRatio_woe,DebtRatio,0.14551427993536947,raises PD
median_risk,10375,591.8557531877793,0.0258371547427974,0,3,NumberRealEstateLoansOrLines_woe,NumberRealEstateLoansOrLines,-0.13473942624377053,lowers PD
median_risk,10375,591.8557531877793,0.0258371547427974,0,4,age_woe,age,0.10340735984935659,raises PD
median_risk,10375,591.8557531877793,0.0258371547427974,0,5,NumberOfTimes90DaysLate_woe,NumberOfTimes90DaysLate,-0.09275135633936189,lowers PD
lowest_risk,8256,642.8627911360811,0.0045073239564679,0,1,RevolvingUtilizationOfUnsecuredLines_woe,RevolvingUtilizationOfUnsecuredLines,-0.5618611546630558,lowers PD
lowest_risk,8256,642.8627911360811,0.0045073239564679,0,2,age_woe,age,-0.47745344085900343,lowers PD
lowest_risk,8256,642.8627911360811,0.0045073239564679,0,3,DebtRatio_woe,DebtRatio,-0.40398662204521324,lowers PD
lowest_risk,8256,642.8627911360811,0.0045073239564679,0,4,MonthlyIncome_woe,MonthlyIncome,-0.1712493268662632,lowers PD
lowest_risk,8256,642.8627911360811,0.0045073239564679,0,5,NumberOfTime30-59DaysPastDueNotWorse_woe,NumberOfTime30-59DaysPastDueNotWorse,-0.15637813172603496,lowers PD
