characteristic,woe_feature,attribute,bin_order,count,count_pct,event_rate,woe,coefficient,points,points_rounded
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"(-inf, 0.06)",0,39331,0.3496119965510804,0.0176196893036027,1.3846248225343325,-0.6484153854499136,96.22995169434134,96
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.06, 0.12)",1,11501,0.1022320198401763,0.0187809755673419,1.319614576139207,-0.6484153854499136,95.01365463199345,95
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.12, 0.19)",2,9071,0.0806318278384696,0.0281115643258736,0.9067232808060056,-0.6484153854499136,87.28874206158912,87
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.19, 0.30)",3,9478,0.0842496377745579,0.0380882042625026,0.592681417823758,-0.6484153854499136,81.41323448270681,81
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.30, 0.50)",4,12207,0.1085076311789438,0.0570983861718686,0.1678493855271408,-0.6484153854499136,73.46491892437041,73
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.50, 0.74)",5,9878,0.0878052249353327,0.1007288924883579,-0.4471848258171556,-0.6484153854499136,61.958051223010514,62
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.74, 0.94)",6,7693,0.0683828300696006,0.1637852593266606,-1.0060074339627871,-0.6484153854499136,51.502864012520554,52
RevolvingUtilizationOfUnsecuredLines,RevolvingUtilizationOfUnsecuredLines_woe,"[0.94, inf)",7,13340,0.1185788318118383,0.2280359820089955,-1.4169021976414151,-0.6484153854499136,43.81530517819627,44
age,age_woe,"(-inf, 36.50)",0,17949,0.1595480848718655,0.1102011254108864,-0.5476483609546117,-0.40931687597756433,63.8566322691385,64
age,age_woe,"[36.50, 42.50)",1,13090,0.1163565898363541,0.0916730328495034,-0.342960551519528,-0.40931687597756433,66.27407482848001,66
age,age_woe,"[42.50, 47.50)",2,13092,0.1163743677721579,0.083027803238619,-0.2344350838941196,-0.40931687597756433,67.55580276789259,68
age,age_woe,"[47.50, 52.50)",3,13937,0.1238855456492946,0.0762717945038387,-0.1422220311576505,-0.40931687597756433,68.64487474940032,69
age,age_woe,"[52.50, 55.50)",4,7955,0.070711739659908,0.0676304211187932,-0.0126653238534899,-0.40931687597756433,70.17498980094939,70
age,age_woe,"[55.50, 63.50)",5,20817,0.1850416448146205,0.0482298121727434,0.3460095612143208,-0.40931687597756433,74.41107955403673,74
age,age_woe,"[63.50, 67.50)",6,8029,0.0713695232846514,0.0318844189811931,0.7768973193223934,-0.40931687597756433,79.50003139549978,80
age,age_woe,"[67.50, 74.50)",7,9052,0.0804629374483328,0.024856385329209,1.033133377387549,-0.40931687597756433,82.52627879984783,83
age,age_woe,"[74.50, inf)",8,8578,0.0762495666628147,0.0195849848449522,1.2768760681354712,-0.40931687597756433,85.40497468197518,85
NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime30-59DaysPastDueNotWorse_woe,"(-inf, 0.50)",0,94479,0.839820798407097,0.0401994093925634,0.5365365355501956,-0.6008542399094939,79.62650002075651,80
NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime30-59DaysPastDueNotWorse_woe,"[0.50, 1.50)",1,12045,0.10706761837883,0.1490244914902449,-0.894064021784089,-0.6008542399094939,54.82419440373608,55
NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime30-59DaysPastDueNotWorse_woe,"[1.50, inf)",2,5769,0.051280455826274,0.3146125845033801,-1.8576944483966529,-0.6008542399094939,38.117744640261066,38
NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime30-59DaysPastDueNotWorse_woe,Missing,3,206,0.001831127387799,0.5388349514563107,-2.791990015140057,-0.6008542399094939,21.919873009219536,22
DebtRatio,DebtRatio_woe,"(-inf, 0.02)",0,9350,0.08311184988311,0.0515508021390374,0.2759237512573378,-1.5303130533205969,82.50812368798186,83
DebtRatio,DebtRatio_woe,"[0.02, 0.31)",1,39669,0.3526164677019351,0.0597443847840883,0.1197398560636062,-1.5303130533205969,75.61174553809619,76
DebtRatio,DebtRatio_woe,"[0.31, 0.42)",2,13346,0.1186321656192499,0.061591488086318,0.0873249819618524,-1.5303130533205969,74.18045053031486,74
DebtRatio,DebtRatio_woe,"[0.42, 0.51)",3,8378,0.0744717730824274,0.0722129386488422,-0.0831536942288857,-1.5303130533205969,66.65287916295388,67
DebtRatio,DebtRatio_woe,"[0.51, inf)",4,41756,0.3711677437132774,0.0775936392374748,-0.1608362958544642,-1.5303130533205969,63.2227649644804,63
MonthlyIncome,MonthlyIncome_woe,"(-inf, 3332.50)",0,21751,0.1933439408350296,0.0940186658084685,-0.3708113370227459,-0.3492175459052149,66.5881702104682,67
MonthlyIncome,MonthlyIncome_woe,"[3332.50, 4825.50)",1,17033,0.1514057902736913,0.0802559736981154,-0.1974625042250295,-0.3492175459052149,68.3348830493273,68
MonthlyIncome,MonthlyIncome_woe,"[4825.50, 5320.50)",2,5713,0.0507826736237655,0.0728163836863294,-0.0921260641450003,-0.3492175459052149,69.39628340211885,69
MonthlyIncome,MonthlyIncome_woe,"[5320.50, 6643.50)",3,11963,0.1063387230108712,0.0671236311961882,-0.0046001834397237,-0.3492175459052149,70.27821942149059,70
MonthlyIncome,MonthlyIncome_woe,"[6643.50, 7656.50)",4,7443,0.0661605880941163,0.0583098213086121,0.1455690769716562,-0.3492175459052149,71.79136820322262,72
MonthlyIncome,MonthlyIncome_woe,"[7656.50, 10351.00)",5,13263,0.1178943812833891,0.0498378948955741,0.3115202652220508,-0.3492175459052149,73.46354024189529,73
MonthlyIncome,MonthlyIncome_woe,"[10351.00, inf)",6,13023,0.1157610289869243,0.0416186746525378,0.5003600600505438,-0.3492175459052149,75.36634448228699,75
MonthlyIncome,MonthlyIncome_woe,Missing,7,22310,0.1983128738922124,0.0560735096369341,0.1870480852846032,-0.3492175459052149,72.20932265491432,72
NumberOfTimes90DaysLate,NumberOfTimes90DaysLate_woe,"(-inf, 0.50)",0,106269,0.9446217299709332,0.0464199343176279,0.3861577005014664,-0.5847751029313039,76.84022761277477,77
NumberOfTimes90DaysLate,NumberOfTimes90DaysLate_woe,"[0.50, inf)",1,6024,0.0535471426412679,0.4108565737051793,-2.275911227784558,-0.5847751029313039,31.92302459418564,32
NumberOfTimes90DaysLate,NumberOfTimes90DaysLate_woe,Missing,2,206,0.001831127387799,0.5388349514563107,-2.791990015140057,-0.5847751029313039,23.215205116288345,23
NumberRealEstateLoansOrLines,NumberRealEstateLoansOrLines_woe,"(-inf, 0.50)",0,42203,0.3751411123654432,0.0833826979124706,-0.2390874859129952,-0.5962022959550383,66.21160709970181,66
NumberRealEstateLoansOrLines,NumberRealEstateLoansOrLines_woe,"[0.50, 1.50)",1,39090,0.3474697552867136,0.0525965720133026,0.2547373565944415,-0.5962022959550383,74.70675829298021,75
NumberRealEstateLoansOrLines,NumberRealEstateLoansOrLines_woe,"[1.50, 2.50)",2,23732,0.2109529862487666,0.0552840047193662,0.2020640216938525,-0.5962022959550383,73.80063145342585,74
NumberRealEstateLoansOrLines,NumberRealEstateLoansOrLines_woe,"[2.50, inf)",3,7474,0.0664361460990764,0.0845598073320845,-0.254390734037571,-0.5962022959550383,65.94834896569132,66
